Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,1.74,1.87,1.56,1.56,35600,1.56
2016-05-11,1.88,1.88,1.70,1.75,9900,1.75
2016-05-10,1.90,1.91,1.72,1.87,29400,1.87
2016-05-09,1.84,1.88,1.82,1.84,13100,1.84
2016-05-06,1.85,1.89,1.81,1.89,15700,1.89
2016-05-05,2.08,2.09,1.75,1.88,104100,1.88
2016-05-04,1.88,2.14,1.87,2.14,44900,2.14
2016-05-03,1.95,1.95,1.88,1.88,8600,1.88
2016-05-02,1.92,2.00,1.88,1.95,8200,1.95
2016-04-29,1.95,2.02,1.95,1.98,33100,1.98
2016-04-28,1.96,2.03,1.90,1.93,16600,1.93
2016-04-27,2.04,2.07,1.95,1.96,55700,1.96
2016-04-26,1.82,2.20,1.82,2.00,345900,2.00
2016-04-25,1.88,1.88,1.81,1.84,40400,1.84
2016-04-22,1.75,1.89,1.75,1.87,33800,1.87
2016-04-21,1.90,1.94,1.73,1.75,24700,1.75
2016-04-20,1.90,1.98,1.90,1.90,92100,1.90
2016-04-19,1.76,1.99,1.76,1.91,137900,1.91
2016-04-18,1.70,1.90,1.70,1.76,124600,1.76
2016-04-15,1.67,1.70,1.65,1.70,38600,1.70
2016-04-14,1.62,1.68,1.62,1.65,18900,1.65
2016-04-13,1.55,1.70,1.53,1.62,35100,1.62
2016-04-12,1.53,1.59,1.53,1.59,3200,1.59
2016-04-11,1.56,1.71,1.50,1.56,8500,1.56
2016-04-08,1.63,1.65,1.53,1.60,27200,1.60
2016-04-07,1.51,1.72,1.51,1.61,24400,1.61
2016-04-06,1.73,1.73,1.50,1.51,75200,1.51
2016-04-05,1.65,1.75,1.65,1.67,67100,1.67
2016-04-04,1.56,1.95,1.56,1.62,184600,1.62
2016-04-01,1.63,1.65,1.54,1.57,58900,1.57
2016-03-31,1.55,1.64,1.45,1.60,91000,1.60
2016-03-30,1.50,1.54,1.49,1.54,26000,1.54
2016-03-29,1.34,1.50,1.32,1.47,80200,1.47
2016-03-28,1.21,1.33,1.21,1.33,22900,1.33
2016-03-24,1.22,1.29,1.14,1.29,33900,1.29
2016-03-23,1.30,1.31,1.15,1.23,79900,1.23
2016-03-22,1.40,1.44,1.24,1.30,29200,1.30
2016-03-21,1.42,1.44,1.40,1.40,53800,1.40
2016-03-18,1.46,1.49,1.44,1.44,23100,1.44
2016-03-17,1.40,1.50,1.40,1.46,69500,1.46
2016-03-16,1.36,1.43,1.36,1.42,4700,1.42
2016-03-15,1.27,1.38,1.27,1.36,22200,1.36
2016-03-14,1.39,1.39,1.29,1.30,23400,1.30
2016-03-11,1.39,1.46,1.31,1.31,33800,1.31
2016-03-10,1.25,1.38,1.25,1.37,77400,1.37
2016-03-09,1.23,1.28,1.18,1.25,34900,1.25
2016-03-08,1.23,1.25,1.19,1.19,57200,1.19
2016-03-07,1.15,1.39,1.10,1.18,84600,1.18
2016-03-04,1.19,1.20,1.15,1.16,53800,1.16
2016-03-03,1.16,1.17,1.10,1.16,14900,1.16
2016-03-02,1.10,1.18,1.10,1.13,45500,1.13
2016-03-01,0.92,1.11,0.92,1.05,20500,1.05
2016-02-29,0.95,1.00,0.93,0.96,23800,0.96
2016-02-26,0.92,1.02,0.92,1.00,15600,1.00
2016-02-25,1.01,1.04,0.99,1.01,17700,1.01
2016-02-24,0.98,1.03,0.91,1.01,19200,1.01
2016-02-23,1.00,1.05,0.96,0.98,30900,0.98
2016-02-22,0.98,1.04,0.98,1.02,23100,1.02
2016-02-19,0.96,1.04,0.96,0.97,32900,0.97
2016-02-18,0.96,1.00,0.96,0.99,10900,0.99
2016-02-17,0.97,1.00,0.96,0.99,20000,0.99
2016-02-16,0.95,1.00,0.91,0.99,3600,0.99
2016-02-12,0.95,1.00,0.88,0.95,37400,0.95
2016-02-11,0.82,1.00,0.82,0.90,38500,0.90
2016-02-10,0.97,0.99,0.84,0.85,24700,0.85
2016-02-09,0.99,1.00,0.94,0.94,3600,0.94
2016-02-08,0.96,1.01,0.95,0.99,33900,0.99
2016-02-05,1.03,1.03,0.98,0.98,3300,0.98
2016-02-04,1.04,1.04,1.01,1.02,6600,1.02
2016-02-03,1.01,1.09,0.98,0.99,4600,0.99
2016-02-02,1.02,1.04,1.02,1.03,17000,1.03
2016-02-01,1.00,1.07,0.95,1.04,49200,1.04
2016-01-29,1.00,1.07,1.00,1.00,17900,1.00
2016-01-28,1.02,1.05,1.00,1.02,17500,1.02
2016-01-27,1.00,1.03,1.00,1.01,8400,1.01
2016-01-26,1.05,1.07,1.02,1.03,13400,1.03
2016-01-25,1.08,1.10,1.05,1.05,9000,1.05
2016-01-22,1.15,1.16,1.11,1.11,17600,1.11
2016-01-21,1.09,1.15,1.08,1.15,11200,1.15
2016-01-20,1.02,1.09,1.00,1.09,30400,1.09
2016-01-19,1.05,1.09,1.05,1.08,11400,1.08
2016-01-15,1.08,1.09,1.05,1.05,34700,1.05
2016-01-14,1.11,1.14,1.10,1.11,5300,1.11
2016-01-13,1.16,1.16,1.09,1.09,9100,1.09
2016-01-12,1.10,1.19,1.07,1.19,54300,1.19
2016-01-11,1.10,1.21,1.10,1.13,21700,1.13
2016-01-08,1.20,1.20,1.12,1.13,18300,1.13
2016-01-07,1.29,1.29,1.11,1.17,20300,1.17
2016-01-06,1.11,1.25,1.06,1.25,71200,1.25
2016-01-05,1.18,1.27,1.07,1.10,96700,1.10
2016-01-04,1.05,1.20,1.05,1.17,62800,1.17
